序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
272,编辑 删除,381,11000152,战马/310ML/24/罐装/2021/礼上有礼,0.00840,1.000,罐装战马,,罐装战马,战马罐装2021促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 128, 'goods_id': 381, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
273,编辑 删除,380,11000011,战马/310ML/24/罐装,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 127, 'goods_id': 380, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
274,编辑 删除,379,11000080,战马/310ML/24/罐装/赠饮,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 126, 'goods_id': 379, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
275,编辑 删除,378,11000140,战马/310ML/24/罐装/2020/箱内码,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 125, 'goods_id': 378, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
276,编辑 删除,377,11000096,战马/310ML/24/罐装/2020/1元畅享,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 124, 'goods_id': 377, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
277,编辑 删除,376,11000086,战马/310ML/24/罐装/2019/壹元乐享二阶段,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 123, 'goods_id': 376, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
278,编辑 删除,375,11000131,战马/310ML/24/罐装/2020/扫码红包,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 122, 'goods_id': 375, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
279,编辑 删除,374,11000130,战马/310ML/24/罐装/2020/1元轻松享,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 121, 'goods_id': 374, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
280,编辑 删除,373,11000063,战马/310ML/24/罐装/2019壹元乐享,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 120, 'goods_id': 373, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
281,编辑 删除,372,11000012,战马/310ML/24/罐装/2018壹元乐享,0.00840,1.000,罐装战马,,罐装战马,罐装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 119, 'goods_id': 372, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
282,编辑 删除,371,11000143,战马/310ML/24/罐装/出口美国,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 118, 'goods_id': 371, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
283,编辑 删除,370,11000092,战马/310ML/24/罐装/出口韩国,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 117, 'goods_id': 370, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
284,编辑 删除,369,11000218,战马/500ML/24/含气,0.01350,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 116, 'goods_id': 369, 'weight': '0.01350', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
285,编辑 删除,368,11000217,战马/500ML/24/原味,0.01370,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 115, 'goods_id': 368, 'weight': '0.01370', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
286,编辑 删除,367,11000213,战马/400ML/15/不含气/常规-LPL女版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 114, 'goods_id': 367, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
287,编辑 删除,366,11000212,战马/400ML/15/不含气/常规-LPL男版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 113, 'goods_id': 366, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
288,编辑 删除,365,11000211,战马/400ML/15/不含气/2023/1元乐享-LPL女版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 112, 'goods_id': 365, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
289,编辑 删除,364,11000210,战马/400ML/15/不含气/2023/1元乐享-LPL男版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 111, 'goods_id': 364, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
290,编辑 删除,363,11000184,战马/400ML/15/不含气/2022/1元即享-LPL女版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 110, 'goods_id': 363, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
291,编辑 删除,362,11000183,战马/400ML/15/不含气/2022/1元即享-LPL男版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 109, 'goods_id': 362, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
292,编辑 删除,361,11000094,战马/400ML/15/不含气/出口韩国,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 108, 'goods_id': 361, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
293,编辑 删除,360,11000151,战马/400ML/15/不含气/2021/扫码红包,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 107, 'goods_id': 360, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
294,编辑 删除,359,11000150,战马/400ML/15/不含气/2021/礼上有礼,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 106, 'goods_id': 359, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
295,编辑 删除,358,11000100,战马/400ML/15/不含气/2020/1元畅享,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 105, 'goods_id': 358, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
296,编辑 删除,357,11000083,战马/400ML/15/不含气/2019壹元乐享,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 104, 'goods_id': 357, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
297,编辑 删除,356,11000014,战马/400ML/15/不含气/2018壹元乐享,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 103, 'goods_id': 356, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
298,编辑 删除,355,11000084,战马/400ML/15/含气/2019壹元乐享,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 102, 'goods_id': 355, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
299,编辑 删除,354,11000015,战马/400ML/15/含气/2018壹元乐享,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 101, 'goods_id': 354, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
300,编辑 删除,353,11000046,战马/400ML/15/不含气/赠饮,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 100, 'goods_id': 353, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
301,编辑 删除,352,11000047,战马/400ML/15/含气/赠饮,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 99, 'goods_id': 352, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
302,编辑 删除,351,11000088,战马/400ML/15/不含气/2019要疯产品,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 98, 'goods_id': 351, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
303,编辑 删除,350,11000040,战马/400ML/15/含气/战马要疯,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 97, 'goods_id': 350, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
304,编辑 删除,349,11000112,战马/400ML/15/含气/2020/1元轻松享,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 96, 'goods_id': 349, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
305,编辑 删除,348,11000114,战马/400ML/15/含气/2020/扫码红包,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 95, 'goods_id': 348, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
306,编辑 删除,347,11000113,战马/400ML/15/不含气/2020/1元轻松享,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 94, 'goods_id': 347, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
307,编辑 删除,346,11000115,战马/400ML/15/不含气/2020/扫码红包,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 93, 'goods_id': 346, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
308,编辑 删除,345,11000002,战马/400ML/15/含气,0.00730,1.000,瓶装战马,,瓶装战马含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 92, 'goods_id': 345, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
309,编辑 删除,344,11000001,战马/400ML/15/不含气,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 91, 'goods_id': 344, 'weight': '0.00730', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
310,编辑 删除,343,,红牛强化型十二罐常规礼盒,0.00370,0.500,红牛,,十二罐礼盒,12罐礼盒,0,1,3,,,,0,0,CAR,2,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 90, 'goods_id': 343, 'weight': '0.00370', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
311,编辑 删除,342,,红牛普通型十二罐常规礼盒,0.00370,0.500,红牛,,十二罐礼盒,12罐礼盒,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 89, 'goods_id': 342, 'weight': '0.00370', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
312,编辑 删除,341,10001044,红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码一期/2024,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 88, 'goods_id': 341, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 321, 'goods_id': 341, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
313,编辑 删除,340,10001043,红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州专供一期,0.00740,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 87, 'goods_id': 340, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 320, 'goods_id': 340, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
314,编辑 删除,339,10001035,红牛维生素功能饮料/牛磺酸强化型/250ml/24/29周年纪念装,0.00740,1.000,红牛,,红牛强化型,强化型,0,1,3,,,,0,0,CAR,2,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 86, 'goods_id': 339, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 319, 'goods_id': 339, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
315,编辑 删除,338,10001034,红牛维生素功能饮料/普通型/250ML/六罐装/29周年,0.00185,0.250,红牛,,红牛六联包,六联包,0,1,3,,,,0,0,包,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 85, 'goods_id': 338, 'weight': '0.00185', 'from_date': '2023-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 318, 'goods_id': 338, 'weight': '0.00185', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
316,编辑 删除,337,10001033,红牛维生素功能饮料/普通型/250ML/24/29周年纪念装,0.00740,1.000,红牛,,红牛普通型,红牛普通型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 84, 'goods_id': 337, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 317, 'goods_id': 337, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
317,编辑 删除,336,10001029,红牛/250ML/24/28周年纪念装/广东促销二期/2023,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 83, 'goods_id': 336, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
318,编辑 删除,335,10001028,红牛/250ML/24/28周年纪念装/两元促销/台州专供三期,0.00740,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 82, 'goods_id': 335, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
319,编辑 删除,334,10001025,红牛/普通型/250ML/24/2023普通装箱内码二期,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 81, 'goods_id': 334, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
320,编辑 删除,333,10001024,红牛/250ML/24/28周年纪念装/两元促销/台州专供二期,0.00740,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 80, 'goods_id': 333, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
321,编辑 删除,332,10001017,红牛/250ML/24/28周年普通型-含箱内码/2023,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 79, 'goods_id': 332, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
322,编辑 删除,331,10001020,红牛/普通型/250ML/24/广东促销/2023,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 78, 'goods_id': 331, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
323,编辑 删除,330,10001016,红牛/普通型/250ML/24/扫码促销-含箱内码/2023,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 77, 'goods_id': 330, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
